country,pl,plf,reg,ts,user
IN,4,Android,1582536389477,1586058965565,24252700prod-in
ID,22,Android,1582661373439,1586046646237,24290743prod-in
IN,20,Android,1583755613939,1586059441826,24597258prod-in
BD,8,Android,1584725544432,1586063876758,24900385prod-in
ID,4,Android,1586062287934,1586062287943,25421381prod-in
MD,17,Android,1578060965400,1586062505017,26641647prod-eu
UA,16,Android,1580305074201,1586071238023,27384193prod-eu
KR,23,iOS,1581509162428,1586044821810,9855959prod-as
CN,6,iOS,1585919126830,1586070402188,10285784prod-as
IQ,6,Android,1523575107373,1586047690654,11171150prod-eu
RU,3,Android,1570203713185,1586069927146,23907476prod-eu
VN,14,iOS,1585020533717,1586054660044,25013874prod-in
PH,3,Android,1585928643958,1586071493044,25376365prod-in
KZ,20,Android,1582113729613,1586044859111,27880391prod-eu
RU,3,Android,1585679897785,1586074393623,28924353prod-eu
UZ,3,Android,1586088564278,1586088564335,29039844prod-eu
KR,25,iOS,1575085678004,1586072669054,9137189prod-as
CA,3,Android,1586019006375,1586089675160,16388380prod-us
IN,31,Android,1576944686453,1586055765179,22337750prod-in
TM,20,iOS,1580419473220,1586053872861,23621556prod-in
IN,10,Android,1584470720762,1586061615099,24810073prod-in
VN,18,iOS,1586025271958,1586064022157,25411828prod-in
PH,3,Android,1586053753765,1586053753774,25417766prod-in
BY,10,Android,1578829789946,1586065779342,26948826prod-eu
AE,15,Android,1581616925199,1586057276280,27750831prod-eu
RU,22,Android,1582048308198,1586058693218,27867803prod-eu
UA,7,Android,1583854602737,1586044848994,28353077prod-eu
RU,5,iOS,1585912848368,1586059906952,28990649prod-eu
UA,4,iOS,1586091509272,1586091509297,29041056prod-eu
IN,15,Android,1535779097576,1586067367298,9990532prod-in
TW,1,Android,1586084475624,1586084475654,10328115prod-as
US,31,Android,1575456256877,1586045057751,14297959prod-us
CN,4,Android,1586013231831,1586053883345,16387252prod-us
NG,14,Android,1566032589792,1586101059284,18231992prod-in
BR,15,iOS,1512059294701,1586048518396,2110449prod-us
VN,8,Android,1577330331861,1586059051766,22493776prod-in
IN,4,Android,1583570184122,1586064777909,24533692prod-in
IN,16,Android,1584975976548,1586059351872,25001633prod-in
IN,5,Android,1585758887442,1586061702178,25313394prod-in
RU,13,Android,1581948349073,1586067212001,27842675prod-eu
IR,8,Android,1582759386113,1586049307082,28050735prod-eu
CN,31,iOS,1581067707281,1586047803870,9798633prod-as
CN,3,iOS,1586058261704,1586058261723,10322991prod-as
IN,22,Android,1557223927690,1586057777731,14089927prod-in
MR,28,Android,1568035073155,1586072285328,18969278prod-in
VN,30,iOS,1576485046521,1586047263051,22148009prod-in
GH,10,Android,1579709487975,1586078334661,23428412prod-in
IN,9,iOS,1584523575257,1586052147856,24825822prod-in
IN,8,Android,1585457506146,1586050215346,25193897prod-in
IN,8,Android,1585656297476,1586053838068,25273266prod-in
LK,3,Android,1586082032504,1586082032508,25431043prod-in
KZ,10,Android,1581687717807,1586098140276,27766318prod-eu
SA,5,iOS,1585855218638,1586068981426,28977501prod-eu
NI,10,Android,1511151150820,1586045995371,619790prod-us
AE,20,iOS,1519927750585,1586047419016,6247010prod-in
CN,28,Android,1581401940541,1586046418924,9843628prod-as
CN,11,iOS,1584176548180,1586076168963,10098181prod-as
RU,23,Android,1520739141054,1586045468359,10105792prod-eu
TH,15,Android,1584876157393,1586071043716,10183722prod-as
CN,7,iOS,1585628420598,1586046151302,10256714prod-as
AR,26,Android,1577654971974,1586078742578,14842752prod-us
US,18,iOS,1580240532337,1586057635824,15401902prod-us
RU,11,Android,1560925979556,1586082680141,20873809prod-eu
IN,15,iOS,1580634983838,1586053179030,23680554prod-in
IN,23,Android,1581419520996,1586045055923,23932443prod-in
IN,6,Android,1585079059166,1586075540784,25041948prod-in
IN,4,Android,1585814087457,1586056916558,25331483prod-in
BD,5,Android,1585873094619,1586057358310,25352589prod-in
CZ,8,Android,1579894403931,1586065274918,27268729prod-eu
YE,30,Android,1579946092633,1586084271534,27280498prod-eu
IR,20,Android,1580388782795,1586059592894,27406071prod-eu
IR,15,Android,1584173213889,1586046491452,28436011prod-eu
IR,8,Android,1585409264137,1586058091466,28835111prod-eu
RU,5,Android,1585489127393,1586085939082,28861961prod-eu
ID,3,Android,1586060673632,1586060673656,29032037prod-eu
TH,32,iOS,1551544073272,1586045405299,6479728prod-as
IN,10,Android,1510976364118,1586081033853,947443prod-in
CN,11,Android,1585939707332,1586051250259,10288553prod-as
CN,4,iOS,1586021276112,1586073639606,10318052prod-as
IR,31,Android,1556497083286,1586045002308,19350047prod-eu
EG,5,Android,1573277977333,1586050462661,20945032prod-in
IN,14,Android,1582477691232,1586055033345,24239933prod-in
NG,14,Android,1583483495568,1586094894671,24506280prod-in
EG,4,iOS,1585863916745,1586065689719,25350975prod-in
IN,4,Android,1586013646345,1586054064346,25407639prod-in
IN,3,Android,1586076211949,1586076211964,25428107prod-in
IR,8,Android,1585348986645,1586079005456,28816612prod-eu
IE,9,Android,1585678254493,1586068914555,28923554prod-eu
IL,4,Android,1585969281176,1586069526023,29007289prod-eu
TW,18,Android,1572010374801,1586045147672,8818719prod-as
CN,22,iOS,1574225248217,1586050071863,9049357prod-as
JP,33,Android,1579953942870,1586045145786,9670318prod-as
TH,21,Android,1581561113774,1586046011266,9860173prod-as
CN,5,iOS,1586005416637,1586045164682,10314357prod-as
IN,2,Android,1558663896968,1586069884573,15020227prod-in
US,3,iOS,1585701596743,1586063011544,16331829prod-us
TJ,33,Android,1561802418189,1586053024213,21113241prod-eu
IN,29,Android,1575643881299,1586057624061,21806407prod-in
IN,5,Android,1585795377797,1586056733742,25322830prod-in
IN,5,Android,1585842093065,1586052675823,25344664prod-in
IN,3,Android,1586001433860,1586063814847,25401794prod-in
RU,23,iOS,1579531582838,1586068531704,27178588prod-eu
RO,7,Android,1580743320298,1586066461224,27503569prod-eu
UA,24,Android,1582297471691,1586073051510,27926388prod-eu
IR,5,Android,1585396537997,1586065746546,28828762prod-eu
RU,5,Android,1585654000654,1586081063709,28913073prod-eu
UZ,4,Android,1585769984945,1586085402390,28952057prod-eu
CN,29,Android,1527866721809,1586047509266,4367548prod-as
JP,12,Android,1570437909498,1586048271298,8678436prod-as
SG,15,Android,1578652642697,1586050688035,9521059prod-as
CN,33,iOS,1580394630050,1586044996036,9714147prod-as
CN,13,Android,1583552507395,1586044887548,10044957prod-as
CN,4,iOS,1585962186028,1586045309201,10292356prod-as
IN,19,iOS,1550511921232,1586076167577,12003465prod-in
BR,13,Android,1584890980734,1586044878300,16148226prod-us
IN,4,Android,1570079354408,1586091358123,19742355prod-in
IN,17,Android,1580862131530,1586060844073,23742667prod-in
IN,4,Android,1585553449453,1586071480899,25231988prod-in
VN,3,Android,1585980232299,1586047532448,25391207prod-in
