country,pl,plf,reg,ts,user
IE,6,Android,1577933772759,1586045593110,26585324prod-eu
CN,9,iOS,1517585276590,1586054246685,2732777prod-as
IR,18,Android,1582891183570,1586047640388,28079227prod-eu
DE,10,Android,1584449607330,1586069100041,28525513prod-eu
AF,7,Android,1584545034471,1586085780580,28553240prod-eu
RU,8,Android,1584844249072,1586056580074,28644102prod-eu
RU,7,Android,1585766964458,1586044961209,28950742prod-eu
IQ,2,Android,1586035104175,1586052425513,29028659prod-eu
KZ,3,Android,1586037533882,1586066591822,29029291prod-eu
BG,3,Android,1586104642698,1586104642720,29046162prod-eu
CN,24,iOS,1526720395357,1586050463324,4258242prod-as
IN,7,Android,1514173966425,1586054306917,4492634prod-in
CL,4,Android,1518931836093,1586052003201,4713867prod-us
CL,7,Android,1519578236868,1586049301564,4860258prod-us
CN,33,Android,1532403035660,1586045135929,4862117prod-as
CN,29,iOS,1533655175463,1586048151002,5018347prod-as
CN,3,iOS,1538952895336,1586057390796,5517128prod-as
US,24,Android,1523390599161,1586084991322,5645773prod-us
RU,33,Android,1513267177504,1586045138765,6341315prod-eu
IN,22,Android,1520572103159,1586046439435,6435529prod-in
PH,33,Android,1522947532060,1586045640689,7162127prod-in
CN,33,iOS,1557976508308,1586047020945,7167775prod-as
CN,4,Android,1560944435660,1586074650969,7501643prod-as
